quote_id,product,product_model,kw,qty,current_gmr_pct,recommended_gmr_pct,delta_gmr_pct_point,unit_price,recommended_unit_price,delta_unit_price,subtotal_price,recommended_subtotal_price,delta_subtotal_price,estimated_gross_profit,recommended_estimated_gross_profit,current_predicted_win_probability_pct,recommended_predicted_win_probability_pct,delta_predicted_win_probability_pct_point,current_expected_return,recommended_expected_return,delta_expected_return,delta_expected_return_pct,avg_competitor_price,min_competitor_price,price_gap_avg_competitor_pct,recommended_price_gap_avg_competitor_pct,price_gap_min_competitor_pct,recommended_price_gap_min_competitor_pct,convert_to_order,success,min_win_probability_threshold_pct,row_id,gross_margin_rate,energy_grant_amount,estimated_cost_x,current_predicted_win_probability,recommended_gmr,estimated_cost_y,recommended_predicted_win_probability,recommended_effective_price_after_grant,recommended_grant_ratio_to_subtotal,higher_than_avg_competitor,is_lower_than_competitor,min_win_probability_threshold,delta_gmr,delta_predicted_win_probability
Q-00114,W,W,11.0,1,7.12,40.0,32.88,136000.0,210528.0,74528.0,136000.0,210528.0,74528.0,9683.199999999997,84211.2,98.42124393367446,84.10355563778921,-14.317688295885244,9530.325892585563,70824.61344524995,61294.28755266439,643.1499640568467,,,,,,,0,1,70.0,0,0.0712,66000,126316.8,0.9842124393367446,0.4,126316.8,0.8410355563778922,144528.0,0.31349749202006383,,,0.7,0.32880000000000004,-0.14317688295885245
Q-00119,H1,H1,37.0,2,30.79,60.0,29.209999999999997,290000.0,501772.5,211772.5,580000.0,1003545.0,423545.0,178582.0,602127.0,99.98217928130352,96.91532652574227,-3.0668527555612446,178550.17540413744,583553.3481496562,405003.17274551874,226.82877338474677,360000.0,360000.0,-19.444444444444446,39.38125,-19.444444444444446,39.38125,0,1,70.0,1,0.3079,222000,401418.0,0.9998217928130352,0.6,401418.0,0.9691532652574227,781545.0,0.22121579002436362,1.0,0.0,0.7,0.29209999999999997,-0.030668527555612446
Q-00161,Y,Other,150.0,1,42.24,20.0,-22.24,2379000.0,1717637.9999999998,-661362.0000000002,2379000.0,1717637.9999999998,-661362.0000000002,1004889.6000000001,343527.59999999986,1.4644491794690464,85.5685837465698,84.10413456710074,14716.097501769784,293951.7020985812,279235.6045968114,1897.484061676202,,,,,,,1,0,70.0,2,0.4224,720000,1374110.4,0.014644491794690464,0.2,1374110.4,0.8556858374656979,997637.9999999998,0.4191802929371614,,,0.7,-0.2224,0.8410413456710074
Q-00167,O1,O1,75.0,1,41.17,50.0,8.829999999999998,775970.0,913006.302,137036.30200000003,775970.0,913006.302,137036.30200000003,319466.849,456503.151,86.9565119022113,82.4795587459966,-4.4769531562147025,277797.2285743044,376521.78460637055,98724.55603206618,35.53835167425352,830000.0,760000.0,-6.509638554216868,10.000759277108436,2.1013157894736842,20.13240815789474,0,1,70.0,3,0.4117,375000,456503.151,0.869565119022113,0.5,456503.151,0.824795587459966,538006.302,0.4107310093901192,1.0,0.0,0.7,0.08829999999999999,-0.044769531562147025
Q-00214,I1,I1,22.0,1,67.87,55.00000000000001,-12.870000000000005,300000.0,214199.9999999999,-85800.00000000009,300000.0,214199.9999999999,-85800.00000000009,203610.00000000006,117809.99999999996,94.79346546298419,91.51770206907625,-3.275763393907938,193008.97502918218,107817.00480757869,-85191.9702216035,-44.13886463503721,240000.0,240000.0,25.0,-10.750000000000036,25.0,-10.750000000000036,0,1,70.0,4,0.6787000000000001,132000,96389.99999999996,0.9479346546298419,0.55,96389.99999999996,0.9151770206907626,82199.99999999991,0.61624649859944,0.0,1.0,0.7,-0.12870000000000004,-0.03275763393907938
Q-00473,H1,H1,37.0,1,54.75,60.0,5.249999999999999,400000.0,452500.0,52500.0,400000.0,452500.0,52500.0,219000.0,271500.0,96.81600961060528,97.98603122966412,1.1700216190588475,212027.06104722555,266032.0747885381,54005.01374131255,25.47081182683743,360000.0,360000.0,11.11111111111111,25.694444444444443,11.11111111111111,25.694444444444443,0,1,70.0,5,0.5475,222000,181000.0,0.9681600961060528,0.6,181000.0,0.9798603122966413,230500.0,0.49060773480662984,1.0,0.0,0.7,0.05249999999999999,0.011700216190588475
Q-00517,I1,I1,22.0,1,29.49,35.0,5.509999999999998,228964.0,248373.10215384618,19409.10215384618,228964.0,248373.10215384618,19409.10215384618,67521.48359999998,86930.58575384616,92.88625013336701,92.89718573464393,0.010935601276906848,62718.17415045637,80756.06770796438,18037.89355750801,28.76023385858843,240000.0,240000.0,-4.598333333333334,3.4887925641025745,-4.598333333333334,3.4887925641025745,0,1,70.0,6,0.2949,132000,161442.51640000002,0.9288625013336702,0.35,161442.51640000002,0.9289718573464393,116373.10215384618,0.5314585148525348,1.0,0.0,0.7,0.05509999999999998,0.00010935601276906848
Q-00521,N1,N1,75.0,1,65.15,50.0,-15.150000000000007,1283500.0,894599.4999999998,-388900.50000000023,1283500.0,894599.4999999998,-388900.50000000023,836200.2500000001,447299.7499999999,0.017988879660657646,74.38786865872126,74.3698797790606,150.4230566946184,332736.75054078846,332586.32748409384,221100.63097527294,830000.0,760000.0,54.638554216867476,7.783072289156598,68.88157894736841,17.710460526315757,1,0,70.0,7,0.6515000000000001,375000,447299.7499999999,0.00017988879660657645,0.5,447299.7499999999,0.7438786865872126,519599.49999999977,0.41918199149451807,1.0,0.0,0.7,-0.15150000000000008,0.743698797790606
Q-00525,H1,H1,37.0,2,39.83,60.0,20.169999999999998,290000.0,436232.5,146232.5,580000.0,872465.0,292465.0,231014.0,523479.0,99.9820582617849,98.70221769789612,-1.27984056388879,230972.55207287977,516685.3821827696,285712.83010988985,123.6999061341876,360000.0,360000.0,-19.444444444444446,21.175694444444446,-19.444444444444446,21.175694444444446,0,1,70.0,8,0.3983,222000,348986.0,0.999820582617849,0.6,348986.0,0.9870221769789611,650465.0,0.25445146796719637,1.0,0.0,0.7,0.2017,-0.0127984056388879
Q-00525,I1,I1,22.0,1,39.83,50.0,10.170000000000002,270000.0,324918.0,54918.0,270000.0,324918.0,54918.0,107541.0,162459.0,77.38472748051166,94.48860299671992,17.103875516208255,83220.30977981705,153505.2395424412,70284.92976262416,84.45646254932588,240000.0,240000.0,12.5,35.3825,12.5,35.3825,0,1,70.0,9,0.3983,132000,162459.0,0.7738472748051166,0.5,162459.0,0.9448860299671992,192918.0,0.4062563477554337,1.0,0.0,0.7,0.10170000000000001,0.17103875516208256
Q-01157,Z,Other,150.0,1,19.49,20.0,0.5100000000000021,1703700.0,1714561.0875000001,10861.08750000014,1703700.0,1714561.0875000001,10861.08750000014,332051.1299999999,342912.2175,85.85192746304143,85.5685837465698,-0.28334371647164014,285072.2952678093,293425.1280087071,8352.832740897778,2.9300752404055137,,,,,,,0,1,70.0,10,0.1949,720000,1371648.87,0.8585192746304143,0.2,1371648.87,0.8556858374656979,994561.0875000001,0.4199325443981884,,,0.7,0.005100000000000021,-0.0028334371647164014
Q-01180,O1,O1,75.0,1,41.17,50.0,8.829999999999998,775970.0,913006.302,137036.30200000003,775970.0,913006.302,137036.30200000003,319466.849,456503.151,86.9565119022113,82.4795587459966,-4.4769531562147025,277797.2285743044,376521.78460637055,98724.55603206618,35.53835167425352,830000.0,760000.0,-6.509638554216868,10.000759277108436,2.1013157894736842,20.13240815789474,0,1,70.0,11,0.4117,375000,456503.151,0.869565119022113,0.5,456503.151,0.824795587459966,538006.302,0.4107310093901192,1.0,0.0,0.7,0.08829999999999999,-0.044769531562147025
Q-01291,K,K,37.0,1,46.47,10.0,-36.47,577800.0,343662.60000000003,-234137.39999999997,577800.0,343662.60000000003,-234137.39999999997,268503.66,34366.26000000001,10.726355431380966,74.51717901016104,63.790823578780085,28800.65691786668,25608.76748329738,-3191.8894345693006,-11.08269663317711,,,,,,,1,0,70.0,12,0.4647,190920,309296.34,0.10726355431380966,0.1,309296.34,0.7451717901016105,152742.60000000003,0.5555448861761506,,,0.7,-0.3647,0.6379082357878009
Q-01366,N1,N1,75.0,2,30.84,30.0,-0.8400000000000019,845960.0,835808.48,-10151.520000000019,1691920.0,1671616.96,-20303.040000000037,521788.128,501485.088,97.08850809949105,96.56815388847477,-0.5203542110162718,506596.3089154627,484274.8915075931,-22321.417407869594,-4.406154765646829,830000.0,760000.0,1.9228915662650603,0.6998168674698773,11.310526315789474,9.974799999999998,0,1,70.0,13,0.3084,375000,1170131.872,0.9708850809949104,0.3,1170131.872,0.9656815388847477,1296616.96,0.2243336894595757,1.0,0.0,0.7,-0.008400000000000019,-0.005203542110162718
Q-01420,I1,I1,22.0,1,41.27,50.0,8.729999999999999,273100.0,320783.25999999995,47683.25999999995,273100.0,320783.25999999995,47683.25999999995,112708.37000000002,160391.62999999998,42.73538891595909,77.01392908852121,34.278540172562124,48166.36026033817,123523.8961921233,75357.53593178513,156.4526269464398,240000.0,240000.0,13.791666666666666,33.659691666666646,13.791666666666666,33.659691666666646,0,1,70.0,14,0.4127,132000,160391.62999999998,0.42735388915959094,0.5,160391.62999999998,0.7701392908852122,188783.25999999995,0.41149279423122026,1.0,0.0,0.7,0.08729999999999999,0.3427854017256212
Q-01475,W,W,11.0,1,28.92,40.0,11.080000000000002,168000.0,199024.0,31024.0,168000.0,199024.0,31024.0,48585.600000000006,79609.6,84.89765276833468,89.93391789050571,5.036265122171035,41248.03398341202,71596.03229696004,30347.99831354802,73.57441163317634,,,,,,,0,1,70.0,15,0.2892,66000,119414.4,0.8489765276833467,0.4,119414.4,0.8993391789050571,133024.0,0.331618297290779,,,0.7,0.11080000000000001,0.05036265122171035
Q-01746,N1,N1,75.0,1,37.669999999999995,55.00000000000001,17.330000000000005,690000.0,955726.6666666667,265726.66666666674,690000.0,955726.6666666667,265726.66666666674,259923.0,525649.6666666667,84.24894038513975,93.84419223236792,9.59525184722817,218982.37331726679,493291.68365546793,274309.3103382011,125.26547510779571,830000.0,760000.0,-16.867469879518072,15.147791164658644,-9.210526315789473,25.753508771929834,0,1,70.0,16,0.3767,375000,430077.0,0.8424894038513975,0.55,430077.0,0.9384419223236792,580726.6666666667,0.3923715985742088,1.0,0.0,0.7,0.17330000000000007,0.0959525184722817
Q-01774,N1,N1,75.0,1,31.72,50.0,18.28,658000.0,898564.8,240564.80000000005,658000.0,898564.8,240564.80000000005,208717.59999999998,449282.4,88.98098823562529,87.85857938242754,-1.1224088531977539,185718.98310167942,394733.13405527564,209014.15095359623,112.5432346563964,830000.0,760000.0,-20.722891566265062,8.260819277108439,-13.421052631578947,18.232210526315797,0,1,70.0,17,0.3172,375000,449282.4,0.8898098823562529,0.5,449282.4,0.8785857938242754,523564.80000000005,0.41733217237087405,1.0,0.0,0.7,0.18280000000000002,-0.011224088531977539
Q-01775,H1,H1,37.0,2,47.11,60.0,12.889999999999995,391300.0,517396.425,126096.42499999999,782600.0,1034792.85,252192.84999999998,368682.86,620875.71,14.520541828784925,95.68754094837945,81.16699911959452,53534.74890186056,594100.6992447915,540565.950342931,1009.7478020003266,360000.0,360000.0,8.694444444444445,43.72122916666667,8.694444444444445,43.72122916666667,1,0,70.0,18,0.4711,222000,413917.14,0.14520541828784925,0.6,413917.14,0.9568754094837945,812792.85,0.2145356918536884,1.0,0.0,0.7,0.12889999999999996,0.8116699911959452
Q-01922,H1,H1,37.0,1,54.55,50.0,-4.549999999999999,570000.0,518130.0,-51870.0,570000.0,518130.0,-51870.0,310935.0,259065.0,88.82074789780232,91.4937199443498,2.6729720465474838,276174.79247603164,237028.20557382982,-39146.586902201816,-14.174569138347131,360000.0,360000.0,58.333333333333336,43.925,58.333333333333336,43.925,0,1,70.0,19,0.5455,222000,259065.0,0.8882074789780232,0.5,259065.0,0.914937199443498,296130.0,0.4284638990214811,1.0,0.0,0.7,-0.045499999999999985,0.026729720465474838
Q-02039,N1,N1,75.0,1,42.089999999999996,55.00000000000001,12.910000000000005,669000.0,860928.6666666669,191928.66666666686,669000.0,860928.6666666669,191928.66666666686,281582.1,473510.76666666684,80.60444879023417,97.17675287852192,16.572304088287748,226967.69959696595,460142.38757686137,233174.68797989542,102.73474524963306,830000.0,760000.0,-19.397590361445783,3.726345381526128,-11.973684210526315,13.280087719298272,0,1,70.0,20,0.4209,375000,387417.9,0.8060444879023417,0.55,387417.9,0.9717675287852192,485928.66666666686,0.4355761569096316,1.0,0.0,0.7,0.12910000000000005,0.16572304088287748
Q-02113,N1,N1,75.0,2,33.93,45.0,11.070000000000002,718000.0,862513.8181818181,144513.81818181812,1436000.0,1725027.6363636362,289027.63636363624,487234.80000000005,776262.4363636363,95.69936398065117,97.2193252389587,1.519961258307534,466280.6046923978,754677.1027162285,288396.49802383065,61.85041692096198,830000.0,760000.0,-13.493975903614459,3.9173274917853154,-5.526315789473684,13.48866028708133,0,1,70.0,21,0.3393,375000,948765.2,0.9569936398065118,0.45,948765.2,0.9721932523895871,1350027.6363636362,0.21738782156006567,1.0,0.0,0.7,0.11070000000000002,0.01519961258307534
Q-02125,H1,H1,37.0,1,44.25,55.00000000000001,10.750000000000004,346900.0,429770.5555555556,82870.55555555562,346900.0,429770.5555555556,82870.55555555562,153503.25,236373.80555555562,95.78026745429655,99.36053570668466,3.580268252388108,147025.8234010375,234862.27947027722,87836.45606923974,59.7421963280907,360000.0,360000.0,-3.638888888888889,19.38070987654323,-3.638888888888889,19.38070987654323,0,1,70.0,22,0.4425,222000,193396.75,0.9578026745429655,0.55,193396.75,0.9936053570668466,207770.55555555562,0.5165546990836195,1.0,0.0,0.7,0.10750000000000004,0.03580268252388108
